name,description,status,created,ministry
Tantalis CDOGS Integration,"Integration between Tantalis (Crown Land Registry) and IITD common document generation service (CDOGS). Current Doc Gen solution is based on server and client side word macros. Regular disruption to users can take place due to age of components and impact from windows updates, existing solution requires replacement.",active,2022-02-11T03:11:47.973Z,FLNR
BCTW,The BC Telemetry Warehouse (BCTW) is the authoritative source for all provincial telemetry information and will be the sole source for both ministry staff and third parties.,active,2021-01-20T06:21:11.227Z,ENV
Tracks,"Tracks, formerly known as the Tenured Recreational Activity on Crownland Knowledge System (TRACKS), has been created to understand the impacts from recreational commercial operations on tenured land to species at risk and potential species at risk.",active,2021-02-04T07:27:56.646Z,ENV
cMF virtual assistant API,Enables the connection between Confluence and DialogFlow,active,2021-01-22T05:06:39.500Z,HLTH
Personal Property Registry,"Application used to register leans. 

This migration should be very fast with 2 weeks as the existing namespace has only prototypes.",active,2021-02-03T07:12:08.533Z,CITZ
CSB Traffic Courts Online,"This project will host portals, API  and integration components as a part of the Online Traffic Courts solution being offered by the Court Services Branch. ",active,2021-01-20T08:22:04.330Z,AG
CAPS Analytics Gateway,A gateway service to the Snowplow analytics service for BCGov OpenShift projects,active,2021-01-05T03:33:25.386Z,CITZ
Hired Equipment Tracking System,"The BC Ministry of Transportation's Hired Equipment Program is for owners and operators who have a dump truck, bulldozer, back hoe or other piece of equipment they want to hire out to the Transportation Ministry for day labour and emergency projects. The Hired Equipment Program distributes available work to local equipment owners. The program is based on seniority and is designed to deliver work to registered users fairly and efficiently through the development of local area call out lists.",active,2021-03-05T04:56:38.776Z,TRAN
BC Developers Exchange,"The BC developers exchange website is the front door to platform services, the  Lab, and services offered by the wider community such as learning opportunities and community.",active,2021-01-15T03:54:49.246Z,CITZ
AG PSSG Document Processing System,"AG PSSG Document Processing System API micro services are used for retrieving, processing and validating fax to email documents received from OCIO AccuRoute service, and or have been processed by the Kofax subsystem for OCR and ICR. ",active,2021-01-12T17:33:59.867Z,AG
Create a new Business,Portal to Registry Business Applications,active,2021-01-27T02:30:56.567Z,CITZ
USER ID MGMT,This application is used for managing roles and description across the education ministry.,active,2021-02-12T05:34:42.816Z,EDUC
Sbc Auth,Authentication and other services used by Service BC applications,active,2021-01-06T04:06:20.676Z,CITZ
AG PSSG ECM Administration and Licensing,"This application provides AG PSSG sectors with User Administration and Licensing tooling for the AG PSSG Enterprise Case Management (ECM) PaaS. It interacts with solution component APIs such as MS Dynamics and MS SharePoint to centralize User Management and Licensing in to one place, facilitating delegated user management to the sectors ISB.",active,2021-01-12T17:53:31.619Z,AG
SPI,"Species Inventory System SPI,WIOF,SIWE",active,2021-02-11T01:49:33.334Z,ENV
PECSF 1,"Charitable giving application for BC Public Service employees to sign up for payroll deductions, support annual giving campaigns and connect with other employee volunteers. ",active,2021-01-15T06:40:54.620Z,PSA
CeeVee,Frontend to NRM Vulnerability Detection tooling,active,2022-03-03T02:31:28.325Z,EAO
EMBC Emergency Support Services,"EMBC Emergency evacuee and registration assistance tool. Using the various portals as a part of this application evacuees can pre resister themselves, volunteers can assist evacuees, and suppliers are able to submit their invoice and documents. These namespaces will host the R2 production release that is integrated with with sectors ECM PaaS. ",active,2021-03-23T15:49:57.717Z,PSSG
Capstone,An OpenShift hosted responsive web solution demonstrating the use of telemetry to validate the CITZ IMB Solution Playbook,active,2021-03-26T03:25:05.130Z,CITZ
names examination,Registry Name Examination for requested business names,active,2021-10-15T03:36:38.438Z,CITZ
Prov Court Scheduling System Integration,"PCSS is a web application for Provincial Court staff to that is used as the provincial court schedule system. Managed by Provincial Judiciary except for the web services to the JUSTIN database. ",active,2021-10-16T15:42:44.521Z,AG
OpenShift Lab Training,OCP Namespaces that will host assorted Platform Services OCP Lab Training,active,2021-10-27T23:29:02.421Z,CITZ
BCROS MHR,Mobile home registration site,active,2021-10-15T04:41:05.692Z,CITZ
Argo Tools Playground,A Project for developers to get some practice with argo tools,active,2021-10-27T02:49:42.319Z,CITZ
Digital Tools,A cutting edge web platform to modernize the ministry's applications.,active,2021-07-15T00:34:03.961Z,AEST
API Management Service,"Enterprise API gateway solution that supports client teams with easily publishing, discovering, mediating, governing and managing access to their APIs to improve utilization, security and control over access to digital services and data through APIs. Based on Kong Community Edition API management solution.",active,2021-10-23T02:36:56.721Z,CITZ
BCROS EDB,"A new platform to enable citizens to start and maintain a business as well as manage multiple accounts and business. Access Personal Property Registry, Manufactured Home Registry and other applications.",active,2021-10-15T03:04:25.960Z,CITZ
GDX Agreements Tracker,A web based replacement for the current GDX Project Management Office database (currently in MS Access).,active,2021-11-02T03:37:56.621Z,CITZ
Personal Property Registry,"Application used to register leans. ",active,2021-10-15T03:39:19.707Z,CITZ
RedHat Integration Suite Test,A test project created for the AG Integration Team to test out RedHat Integration Suite products in the LAB environment.,active,2021-11-05T04:36:33.219Z,AG
BCROS MINIO,Data and backup storage  for  BCROS applications,active,2021-10-21T20:52:35.013Z,CITZ
BCROS OPS,Namespace required from operational tools to support our cloud platform apps,active,2021-10-15T04:36:22.789Z,CITZ
AG PSSG ISB DevOps LAB GOLD,"The AG PSSG ISB DevOps LAB GOLD is a set of namespace for the sector to use to complete testing, demos, RnD, POC, experiment and discover in an environment that does not contain citizen facing applications or PI data using the OCP Gold cluster. As this is a LAB space for the sector we will potentially connect or consume a variety of services over time.

",active,2021-10-16T15:46:50.573Z,AG
AG PSSG Automatic Xerox Fax Processor,"AG PSSG Automatic Xerox Fax Processor presents a Fax API that exposes the JUSTIN and SCMS SOAP APIs as document distribution services. This API will accept Fax requests from AG PSSG Oracle forms application JUSTIN and SCMS. 
It will allow for the tracking outgoing messages and also deliver the fax messages to an email in Microsoft Exchange for Shared Services. There is Notification Worker that communicates the fax statuses including success and failure. ",active,2021-07-08T01:45:05.773Z,AG
Create a new Business,Portal to Registry Business Applications,active,2021-10-15T03:30:02.805Z,CITZ
CSB Court Clerk Display Integration,"CCD is used in live court sessions by court clerks to capture an audio recording of court hearings, to create a time stamped hearing log sheet of hearing events, and to pull and push data entries in court case tracking databases. This integration service integrates the CCD application with CEIS and JUSTIN databases.",active,2021-10-16T15:39:44.892Z,AG
LEAR,Project provides services for Registries business applications,active,2021-10-15T03:33:45.943Z,CITZ
PlatformSecurityTesting,"Test project to figure out IDIR, Azure AD integration and migration activities for existing GitHub users.",active,2021-10-05T06:23:20.675Z,CITZ
Sbc Auth,Authentication and other services used by Service BC applications,active,2021-10-15T03:24:26.494Z,CITZ
CSB Supreme Court Scheduling Integration,The Supreme Court Scheduling System (SCSS) is an application used by the Supreme Court Judiciary (SCJ) for scheduling and tracking court case information. This integration service integrates the SCSS application with the CEIS database.,active,2021-10-16T15:24:55.748Z,AG
CSB Court Digital Display Integration,CDDS is a CSB system consisting of a server operated by ISB and a number of remote devices connected to TV screens located at courthouses around the province. This integration service integrates the CDDS application with CEIS and JUSTIN databases.,active,2021-10-16T15:22:16.933Z,AG
ACRFD,This site contains Crown land application information posted by the Province. Public participation in the administration of Crown land is encouraged and this site offers a platform for members of the public to submit comments for consideration.,active,2021-03-04T07:55:03.866Z,FLNR
AdvSol MCS Test,AdvSol MCS Test,active,2021-11-02T00:05:21.018Z,CITZ
BCROS ANALYTICS,Namespace to provide analytics from our cloud platform apps.,active,2021-10-15T04:38:44.180Z,CITZ
Health Gateway,"An application which empowers citizens to manage their health care by providing access to their own health information. ",active,2021-12-02T07:48:34.588Z,HLTH
Human Rights Tribunal,The Human Rights Tribunal (HRT) system is one many applications being developed under the Tribunal Transformation Initiative (TTI) project. Intake forms to allow users to submit a complaint to the Human Rights Tribunal. Form data is passed to the case management system built in Salesforce.,active,2021-02-22T19:06:18.305Z,AG
EMBC OnLine Expense Authorization Forms,"Emergency Management BC (EMBC) OnLine Expense Authorization Forms (EAFs) provide a front end  form for integration with the EMBC ETeams application. ",active,2021-02-22T19:02:12.340Z,PSSG
CSB Court of Appeal,"Courts Services Branch Court of Appeal is an interactive online application to walk a user through plain language questions to apply for appeals.

(OCP3 Migration)",active,2021-02-08T17:49:24.752Z,AG
RSBC Digital Forms Back End,"Road Safety BC (RSBC) Digital Forms is an online forms application for review and dispute processes for citizen facing forms such as Immediate Roadside Prohibitions (IRP), ADP and Unlicensed Driver impounds. The backend API components work in unison with the front end forms to create a cohesive solution for RSBC",active,2021-02-22T18:58:14.012Z,PSSG
Superior Courts Judiciary Online Booking,"Superior Courts Judiciary Online Booking allows external users to access information from the Superior Courts so that they can book a particular hearing using the online website. For the Supreme Court, the bookings are related to conference hearings such that the process minimizes the current wait times for standard phone bookings. For the Court of Appeal, the bookings will be related to the booking of a hearing of appeal.",active,2021-02-22T18:43:40.381Z,AG
PSD Community Safety Act Application,"Police Services Division Community Safety Act application portal component for a cases management system to manage compliance and enforcement of the Community Safety Act. ",active,2021-02-22T18:46:48.185Z,PSSG
BioHub,"BioHub will be the platform for hosting of the British Columbia's species inventory and habitat for internal and external stakeholders. The platform will also provide common services like taxonomy information, code management, data security, data sharing agreements admin, user and user group management and advanced searching capabilities.

The 4 current projects will be using the platform for data exchange, taxonomy, codes, data analysis, data security and data sharing agreements.",active,2022-03-25T00:13:30.135Z,ENV
HybridWorkPlace,A cutting edge web site to foster aspiring leaders and continuous learning,active,2022-03-29T01:10:59.575Z,CITZ
CCBC Metabase,"A namespace for our cutting edge open source data analytics tool, so that it can be used across applications in the cluster.",active,2022-03-30T00:04:27.901Z,CITZ
Habitat restoration Tracker,"Restoration Tracker is a system which supports the planning, implementation and monitoring of restoration projects in British Columbia. The initial release (March 2022) collects project and treatment details for caribou herd restoration initiatives in the north east of the province. Future development will support all restoration projects within the province and will assist with planning and monitoring the effectiveness of these projects.",active,2022-03-29T00:09:23.733Z,ENV
Modern Engagement Tools,"A common component for public engagement starting with EAO, EMLI and GDX.",active,2022-04-02T05:23:40.424Z,EAO
FINtranet,"Ministry of Finance intranet, an employee portal and corporate financial services hub.",active,2022-04-20T23:27:46.535Z,FIN
BC Corrections Community Corrections CMS,"The BC Corrections Community Corrections Case Management System will host portals, apis, local keycloak realm, workflow engine and other supporting services to enable an open source case management platform.",active,2022-04-08T17:23:13.521Z,PSSG
Openshift 201 Lab,This project set is used for the LAB part of the Openshift 201 training.,active,2022-04-02T02:39:15.808Z,CITZ
Mineral Titles Branch Metabase Instance,"We have been working with IIT to develop an instance of the Metabase application to be used to serve out Dashboards, queries and reports from the Mineral Titles Online database (MTOPROD). IIT has indicated that I will need to configure a namespace for Openshift.",active,2022-04-15T03:23:57.713Z,EMPR
AG PSSG BC PARIS Integration,"The AG PSSG BC PARIS Integration API allows police officials to access ICBC (vehicle and driver) and POR (Protection Order Registry) information in realtime (from the roadside, etc).  ",active,2021-01-12T17:15:11.042Z,AG
CONN CCBC Portal,"An application platform that allows applicants to apply to the Connecting Communities BC Program. ",active,2022-04-05T04:13:54.197Z,CITZ
SDPR Research Website,"Research Branch Web Portal
The Ministry Research Branch makes use of a website  to disseminate research material. The website is available at research.sd.gov.bc.ca and is available to all Ministry staff. ",active,2022-04-04T23:58:19.520Z,SDPR
FOI Help,This is the application to host our help section for government staff for the FOI management system.,active,2022-05-03T03:00:46.005Z,CITZ
BC Corrections ICON2 Integration,"The BC Corrections ICON2 (Integrated Corrections Operational Network) Integration provides an interface to database resources to support the ICON portal interface via the implementation of a number of APIs. ",active,2022-05-04T15:50:47.432Z,PSSG
Vault Test project,A test project set created to test Vault service.,active,2022-04-28T01:28:01.631Z,CITZ
Content Management Framework,"Hosting of public and internal websites managed through CMF ",active,2022-04-06T23:18:17.997Z,CITZ
EducationClients,This namespace will be used for hosting application for other Ministry clients.,active,2022-04-28T06:20:59.399Z,EDUC
Citizen Engagement,"Tools to support Citizen Engagement (engage.gov.bc.ca) with their outreach to BC Citizens, including Lime Survey and other future micro services.",active,2022-05-03T04:13:46.052Z,CITZ
Test CrunchyDB,This is a test project set to experiment with CrunchyDB config and resource settings.,active,2022-05-03T04:15:21.068Z,CITZ
BC Corrections StaffNet Integration,"The BC Corrections StaffNet application allows BC Corrections to maintain employee roles with the CORNET application, print ID cards, and is being extended to allow enrolment of staff biometrics into the on premise Electronic Security and Control System which provides surveillance, communication, and door control to secure the custody centres.  This integration provides access to data sources to support this application via the implementation of several APIs.",active,2022-05-04T16:03:12.776Z,PSSG
Education Database,"We are planning to move our DB's to Cloud. 
Requesting a namespace for hosting Cloud DB's.",active,2022-05-07T01:40:43.966Z,EDUC
Concurrent Processing Framework,The Concurrent Processing Framework (CPF) is utility software that extends the web services paradigm by adding support for batching of multiple business application requests into a job for asynchronous processing.,active,2022-05-18T11:39:25.304Z,CITZ
API Versioning Test for PIMS,This is a test environment for PIMS app (Silver license plate is 354028),active,2022-05-10T05:36:12.782Z,CITZ
SDPR Access Portal,Common login solution for SDPR using KeyCloak,active,2022-05-12T01:17:04.798Z,SDPR
API Versioning Test for ServiceBC,TheQ And Formsflowai Apps by ServiceBC,active,2022-05-12T03:33:17.376Z,CITZ
BCPS DEMS,"The BC Prosecution Services (BCPS) Digital Evidence Management System (DEMS) is a set of products within the broader DEMS ecosystem. In particular this set of namespaces will host Identity and Access Management related solutions. ",active,2022-05-19T16:15:43.583Z,AG
Forms Common Components,"Forms design and submissions team is an opensource based program that enables users to design forms for submitting data, process and notify that data, and store and manage and access the data in a managed and secure environment",active,2022-05-21T01:12:31.628Z,CITZ
Demo Monolith to Microservices App,This app demonstrates a proof of concept to convert monolithic apps to microservices and host them on the OpenShift Platform. This will only require a maximum of 2 namespaces. One namespace should also be sufficient.,active,2022-06-07T03:51:18.910Z,CITZ
EPICFLOW,Formsflow.ai administrative enhancements for EAO supporting EPIC,active,2022-05-28T00:04:57.718Z,EAO
Digital Consulting Sandbox,A R and D area for Gary and the Digital Consulting team to prove out new best practices.,active,2022-06-16T03:55:20.933Z,CITZ
OpenShift 201 Test Project 1,201 training namespace,active,2022-06-17T22:15:22.111Z,CITZ
Vault Test project,A test project set created to test Vault service.,active,2022-06-15T02:16:32.767Z,CITZ
Vault Test project,A test project set created to test Vault service.,active,2022-06-15T00:49:02.768Z,CITZ
OpenShift 201 Test Project 4,201 training namespace,active,2022-06-17T22:19:20.787Z,CITZ
API Versioning Test for APS,a test project set to test the API Versioning changes in OCP 4.9 for APS team,active,2022-06-01T07:05:55.732Z,CITZ
OpenShift 201 Test Project 7,201 training namespace,active,2022-06-17T22:32:07.642Z,CITZ
OpenShift 201 Test Project 8,201 training namespace,active,2022-06-17T22:33:12.579Z,CITZ
OpenShift 201 Test Project 5,201 training namespace,active,2022-06-17T22:22:38.431Z,CITZ
OpenShift 201 Test Project 6,201 training namespace,active,2022-06-17T22:25:05.204Z,CITZ
OpenShift 201 Test Project 10,201 training namespace,active,2022-06-17T22:36:57.033Z,CITZ
Vault Test project,A test project set created to test Vault service.,active,2022-06-15T00:50:24.560Z,CITZ
OpenShift 201 Test Project 2,201 training namespace,active,2022-06-17T22:16:40.578Z,CITZ
GRAD Business APIs,GRAD Business functionality will be hosted on this namespace,active,2022-06-18T01:43:52.292Z,EDUC
OpenShift 201 Test Project 19,201 training namespace,active,2022-06-17T22:50:17.731Z,CITZ
OpenShift 201 Test Project 18,201 training namespace,active,2022-06-17T22:49:18.734Z,CITZ
OpenShift 201 Test Project 11,201 training namespace,active,2022-06-17T22:38:12.901Z,CITZ
OpenShift 201 Test Project 12,201 training namespace,active,2022-06-17T22:39:38.132Z,CITZ
OpenShift 201 Test Project 14,201 training namespace,active,2022-06-17T22:43:05.737Z,CITZ
OpenShift 201 Test Project 17,201 training namespace,active,2022-06-17T22:47:05.432Z,CITZ
OpenShift 201 Test Project 15,201 training namespace,active,2022-06-17T22:44:26.431Z,CITZ
OpenShift 201 Test Project 20,201 training namespace,active,2022-06-17T22:51:36.828Z,CITZ
OpenShift 201 Test Project 13,201 training namespace,active,2022-06-17T22:41:47.033Z,CITZ
OpenShift 201 Test Project 9,201 training namespace,active,2022-06-17T22:35:14.299Z,CITZ
Anti Racism Data Survey,"A web platform allowing for the secure collection of demographic information on race, ethnicity, faith, gender, sex, ability, income and other social identity markers.",active,2022-07-06T00:45:25.059Z,CITZ
ALCS,"The Agricultural Land Commission (ALC) System will assist ALC staff and Commissioners to review and decide on Applications and Notices of Intents, which propose non-adhering land uses in the Agricultural Land Reserve.",active,2022-07-16T05:07:54.571Z,ALC
OpenShift 201 Test Project 16,201 training namespace,active,2022-06-17T22:45:56.128Z,CITZ
FSADT2 Seed Planning,"Forest application for managing Seed Planning and Registry System ",active,2022-07-26T22:04:40.212Z,FLNR
NRM vault token broker,"An application which enhances the security of credentials stored on NRM vault by authenticating callers, validating requests for vault tokens against business rules, and providing an audit trail of requests and responses",active,2022-07-20T02:59:49.932Z,ENV
Test PREFECT ETL Tool,a test project set created for FOI Modernization team to test our a new ETL tool - PREFECT,active,2022-07-05T04:26:53.072Z,CITZ
Digital Consulting Automated Testing,"A demo space to build samples, configuration, pipelines to enable teams to better incorporate end-to-end testing on their Agile products.

This is used in integration with:
- https://github.com/bcgov/automated-testing
- https://github.com/bcgov/automated-testing/ workspaces/work-62d6e8044841bf00111cdf04/board",active,2022-07-27T05:07:48.655Z,CITZ
onRouteBC,A permitting system that allows for automated commercial and overheight/overweight private vehicle travel permits to be issued.,active,2022-09-15T00:59:20.202Z,TRAN
CCOF,Childcare funding project,active,2022-09-16T05:37:21.873Z,EDUC
Ian KLAB2 Test,This is a test,active,2022-09-16T01:48:33.896Z,CITZ
CSB CEIS CRDP Integration,The business goal of the CEIS-CRDP integration is to enable BC-registered divorces to be certified Federally. The general solution approach is enable the CEIS application to publish BC-registered divorces to the CRDP application. The technical approach is to exchange files between CEIS (JAG) and CRDP (DOJ) via the Managed Secure File Transfer (MSFT) service operated by SharedServices Canada (SSC).,active,2022-09-17T04:39:44.830Z,AG
Alex C KLAB 2 test,For testing KLAB 2 stuff,active,2022-09-16T04:59:37.563Z,AGRI
HNI Modernization Project,"Modernizing 20 years old software, middleware and infrastructure to support applications connecting to Ministry of Health systems. We had been using silver cluster for all our applications. We need to migrate to Gold cluster for our applications to use the GoldDR features for HA applications.
",active,2022-08-09T03:35:49.438Z,HLTH
CITZ IMB Sandbox,"Creating a sandbox for IMB resources to learn more about Openshift, third party tools and integrations into project environments.",active,2022-08-10T00:15:15.131Z,CITZ
Digital Privacy Impact Assessment,This project will leverage service design findings to build a novel product that reimagines the Privacy Impact Assessment tools to support streamlined business processes and improved user experience.,active,2022-06-18T03:21:49.234Z,CITZ
GRAD UI,"On this Namespace we will be hosting UI for a new application called GRAD (Student Graduation) ",active,2022-06-18T01:42:17.931Z,EDUC
OpenShift 201 Test Project 3,201 training namespace,active,2022-06-17T22:18:09.031Z,CITZ
OpenShift 201 Test Project 21,201 training namespace,active,2022-08-10T04:06:11.760Z,CITZ
SDPR Research Branch map generator,Allows users to build a Choropleth map of BC or Canada given an uploaded data set,active,2022-08-12T05:42:29.873Z,SDPR
KLAB2 Test,This is a test of provisioner updates for KLAB2. Edited for testing editing,active,2022-09-08T01:10:50.258Z,AEST
Payment common component,"This common component will streamline the processes and technology required for Ministries to send and receive payments, as well as providing a more consistent experience for British Columbians.",active,2022-08-24T00:58:37.541Z,CITZ
Alex C KLAB 2 test,.,active,2022-09-16T07:19:15.580Z,AGRI
EPD Digital Services,A suite of apps to help admin staff of EPD(Environment Protection Division) and the public with various aspects related to EPD.,active,2022-08-30T06:03:28.798Z,ENV
RunWhen PoC,This is a test project set that will be used to test RunWhen SRE Framework components,active,2022-09-21T06:56:55.754Z,CITZ
Online Cloud Security Schedule,New Cloud Security Schedule with logic and plain language to make completing the schedule simpler based on user context.,active,2022-09-22T23:41:37.988Z,CITZ
AG PSSG ISB DevOps LAB,"The AG/PSSG ISB DevOps LAB is a set of namespace for the sector to use to complete testing, demos, RnD, POC, experiment and discover in an environment that does not contain citizen facing applications or PI data. As this is a LAB space for the sector we will potentially connect or consume a variety of services over time.",active,2022-09-24T02:51:39.621Z,AG
SPD Security Screening and services,"The Security Programs Division (SPD) Security Screening and Service will provide functionality to facilitate the processing of public requests for Security Screenings and Security Services.

",active,2022-09-24T04:40:17.369Z,PSSG
BCPS DEMS,The BC Prosecution Services (BCPS) Digital Evidence Management System (DEMS) is a set of products within the broader DEMS ecosystem. In particular this set of namespaces will host Identity and Access Management related solutions.,active,2022-09-24T04:47:57.458Z,AG
Vault Test project,A test project set created to test Vault service.,active,2022-09-23T06:16:25.855Z,CITZ
AG PSSG JADE Platform,AG PSSG JADE Platform is the Integration Services Platform for the Justice and Public Safety sector. This platform will be used to provide integration services within the sector using the Red Hat Integration Operators,active,2022-09-24T04:57:10.175Z,AG
CSB Courts Fees and Fines MS,"The Court Services Branch (CSB) Courts Fees and Fines management system (CFFMS) hosts services that enable the broader CFFMS application functionality. This consists of APIs, Adapters and other services that work with the core MS Dynamics Finance and Operations backend hosted by AG/PSSG ISB. ",active,2022-09-24T04:53:53.774Z,AG
SCJ Supreme Court Viewer,"The Supreme Court Judiciary (SCJ) Supreme Court Viewer is an application that allows the Judiciary to view, select and download court documents. ",active,2022-09-24T04:31:01.718Z,AG
AdvSol Testing,A place for AdvSol to test in,active,2022-09-28T05:47:55.349Z,CITZ
PSS ECommerce Microservices,Microservices environmnet to be used by the new Procurement and Supply Services ECommerce platform.,active,2022-09-28T04:52:44.956Z,CITZ
BC Corrections Community Corrections DAL,"The BC Corrections Community Corrections Data Access Layer will host an API that allows the BC CCCMS application (hosted in Gold) to access CORENET data via this data access layer in the Emerald Cluster. ",active,2022-09-28T01:42:46.177Z,PSSG
DOMO,A document management web-interface that uses the COMS API and object storage,active,2022-10-11T23:59:16.090Z,FLNR
Document Reviewer,"An application for the review and redaction of FOI records.

We are early adopters of Emerald where this app will ultimately reside. However, as we cannot onboard onto Emerald until November, we would like to provision a Silver Cluster namespace for now so our development is not blocked. 

We will migrate to Emerald when it is available.
",active,2022-09-30T07:44:16.554Z,CITZ
ISDincubator,"A development space to test, iterate and refine applications built by the Sector Priorities Digital Design and Development team.",active,2022-10-14T01:25:31.887Z,SDPR
Provincial Prescription Management,Electronic prescription management capabilities in British Columbia using HTTPS transport and modern OAuth2 authentication and authorization standards.,active,2022-10-13T05:02:52.363Z,HLTH
Plugin and site Delivery Automation,A collection of tools to provide CI/CD for WordPress Plugins and Engaging Sites.,active,2022-10-13T05:08:31.283Z,CITZ
Document Reviewer,"Review, redaction and deduplication of FOI records including Protected C data.",active,2022-10-27T00:31:40.065Z,CITZ
Vault Test project,A test project set created to test Vault service.,active,2022-10-29T06:58:02.999Z,CITZ
PSA DIO Data Science,Building data science and machine learning use cases for PSA corporate initiatives.,active,2022-10-28T04:43:17.372Z,PSA
Soil Relocation Information System,"Soil Relocation Information System manages soil relocation notifications and high volume receiving site registration and  gives access to Indigenous Nations, municipalities, and other interested parties to access information on soil relocation through a mapping application.  Interested parties can subscribe to be automatically notified of soil relocation or high volume receiving site registrations in their area(s).",active,2022-10-13T23:19:03.927Z,ENV
BC Laws,"BC Laws provides access for citizens and ministries to view, search, print, all Laws, Acts, Regulations, Gazette publications and more. The platform also provides an API that specifies how to search and retrieve from the library's collection in either form: website or XML. BC Laws is published by the King's Printer for British Columbia in partnership with the Ministry of Attorney General and Legislative Assembly.",active,2022-10-19T00:21:49.668Z,CITZ
Hydrometric Rating Curve,"A hydrometric rating curve describes the mathematical relationship between stage and discharge. The rating curve app allows users to upload any stage and discharge datasets, develop and optimize rating models as well as save and compare results from previous sessions.",active,2022-11-03T05:07:08.255Z,ENV
AdvSol Testing,Test project for AdvSol in KLAB2,active,2022-11-11T05:33:04.257Z,CITZ
PBGP,This application will replace BC Air Access and Active Transportation Infrastructure Grant Program's paper-based process.,active,2022-10-14T04:36:28.497Z,TRAN
IPS,Project Management Application,active,2022-11-22T00:22:59.982Z,TRAN
BMC Remedy Helix,"BMC Remedy Helix ",active,2022-12-14T03:54:26.973Z,CITZ
CHEFS,"The Common Hosted Form Service (CHEFS) is Web-based application for creating Web forms and managing the data you collect. This request is to cover components of CHEFS that are specific to, and need to be managed by the Ministry of Health.",active,2022-12-15T07:11:35.170Z,HLTH
DriveBC PoC,This is a proof of concept project for DriveBC team to evaluate Openshift as a potential new hosting environment for DriveBC app.,active,2022-12-09T03:58:17.194Z,TRAN
BC Corrections CMSINT PAC Integration,The BC Corrections CMSINT-PAC Integration serves to keep correction's client information up to date and consistent between CORNET and the PHSA.,active,2022-11-30T08:24:49.666Z,PSSG
PTAP,Grant portal to support a new MOTI funding program that will increase/enhance passenger transportation services for the accessibility community.,active,2022-12-07T03:59:34.660Z,TRAN
Digital Privacy Impact Assessment,Onboarding into Emerald Cluster for eventual migration. Project already exists in silver (b996e6).,active,2022-11-18T04:44:40.159Z,CITZ
BCBox,A Web user interface for managing and sharing documents in object Storage by leveraging the COMS API.,active,2022-12-15T09:01:13.271Z,FLNR